Experiment,Params,Train Acc,Val Acc,Test Acc,Test Loss,Generalization Gap
Baseline CNN,101699,97.17261791229248,97.6190447807312,84.95,0.6262,12.669044780731198
Simpler CNN,23747,94.09722089767456,87.10317611694336,69.08602118492126,1.2695536613464355,18.017154932022095
Deeper CNN,405059,100.0,100.0,97.31183052062988,0.2262265533208847,2.688169479370117
Regularized CNN,405059,99.70238208770752,100.0,96.23655676841736,0.0733550488948822,3.7634432315826416
Transfer Learning (MobileNetV2 fine-tuned),,,,90.32257795333862,0.28246989846229553,
